Document.Title,Document.Type,Published.Date,Comments.Due.Date,Standards
IFRS Taxonomy 2021: Proposed Update 3 Initial Application of IFRS 17 and IFRS 9: Comparative Information,IFRS Taxonomy Update,2021-12-01,2022-01-17,"IFRS 17, IFRS 9"
IFRS Taxonomy 2021: Proposed Update 2 Technology Update,Proposed Taxonomy Update,2021-12-01,2022-01-03,
Exposure Draft: Supplier Finance Arrangements,Exposure Draft,2021-11-01,2022-03-28,"IAS 7, IFRS 7"
Exposure Draft: Non-current Liabilities with Covenants,Exposure Draft,2021-11-01,2022-03-21,IAS 1
Request for Information: Post-implementation Review of IFRS 9: Classification and Measurement,Request for Information,2021-09-01,2022-01-28,IFRS 9
Exposure Draft: Initial Application of IFRS 17 and IFRS 9―Comparative Information,Exposure Draft,2021-07-01,2021-09-27,"IFRS 17, IFRS 9"
Exposure Draft: Subsidiaries without Public Accountability: Disclosures,Exposure Draft,2021-07-01,2022-01-31,"IFRS 1, IAS 32, IFRS 17, IFRIC 14, IFRS 5, IFRS 13, IFRS 7"
Exposure Draft: Subsidiaries without Public Accountability: Disclosures: Basis for Conclusions,Exposure Draft Basis for Conclusions,2021-07-01,2022-01-31,"IFRS 1, IAS 32, IFRS 17, IFRIC 14, IFRS 5, IFRS 13, IFRS 7"
Exposure Draft: Management Commentary,Exposure Draft,2021-05-01,2021-11-23,Practice Statement 1
Exposure Draft: Management Commentary: Basis for Conclusions,Exposure Draft Basis for Conclusions,2021-05-01,2021-11-23,Practice Statement 1
Exposure Draft: Proposed Targeted Amendments to the IFRS Foundation Constitution to Accommodate an International Sustainability Standards Board to Set IFRS Sustainability Standards,Exposure Draft,2021-04-01,2021-07-29,
Proposed IFRS Taxonomy 2021 Update 1: Disclosure of Accounting Policies and Definition of Accounting Estimates,Proposed IFRS Taxonomy Update,2021-04-01,2021-06-21,"IAS 1, Practice Statement 2, IAS 8"
Exposure Draft: Lack of Exchangeability,Exposure Draft,2021-04-01,2021-09-01,IAS 21
Request for Information: Third Agenda Consultation,Request for Information,2021-03-01,2021-09-27,
