"","date","crisis","economy","inflation","stock market","asset","bankruptcy","bond","business outlook","conflict","consumer price index","debt","debt ceiling","default","derivative","fiscal policy","monetary policy","recession","reform","regulation","risk","russian individual","russian oligarch","ukraine","agriculture industry","annexation of crimea","armed forces","armistice","arms","azov","bank loan","bank of russia","bank rate","banking","base closure","belaru","bomb","brink","bubble","budget","budget cut","buy","canada sanctions","cash","chance","commodity","commodity futures trading commission","concern","construction permit","consume","consumer confidence","consumer spending","consumption","coup","crash","credit","credit default swap","credit rating","culture","danger","debt restructuring","defense spending","department of commerce","dividend","doubt","dow jones","earnings","economic outlook","economic recovery","energy","energy policy","energy price","environment","eu sanctions","euro","exchange rate","export","export ban","export control","export of luxury","external debt","fear","fed","finance","financial crisis","financial institutions","financial market","financial reform","financial sanctions","fine","fiscal cliff","food","food price","footing","foreign direct investment","forex","freedom","fuel price","gas price","geopolitical","globalization","government budget balance","government debt","greed","gross domestic product","growth","growth forecast","headlines","hedge","hostilities","import","inevitable","insurrection","interest rate","invasion of ukraine","investment","labor","loss","markets","metals","military budget","military conflict","military embargo","military invasion","military procurement","military spending","missile","money","money supply","nasdaq","national security","natural gas","natural reserve","naval blockade","neo-nazism","new zealand","no-fly zone","nyse","oil","oil price","oil supply","opportunity","ore","package of sanctions","parley","police action","policy","politics","portfolio","price level","profit","putin","quantitative easing","ramzan kadyrov","real estate","religion","revenue","revolt","revolution","rich","russia","russia attack","russia war","russia-ukraine conflict","russia-ukraine crisis","russian bank","russian central bank","russian economy","russian entity","russian gas pipelines","russian oil","saber rattling","sanctions","scare","securities and exchange commission","sell","share price","short selling","slow economic recovery","society","stimulus","stock exchange","stocks","swift","switzerland sanctions russia","tension","terror","terrorism","threat","tourism","trader","transaction","travel","travel ban","treaty","truce","ukraine invasion","ukraine war","ukrainian economy","unemployment","unemployment benefit","unemployment extension","united states congress","united states dollar","united states federal budget","uprising","us economy","us treasury sanctions","vladimir putin","volodymyr zelenskyy","wage","war in ukraine","warhead","warn","weapon","white house","workers' compensation","world economy","index"
"1",2021-08-01,0.103448275862069,0.137931034482759,0.0689655172413793,0.137931034482759,0.103448275862069,0.0344827586206897,0.344827586206897,0,0.0689655172413793,0,0.137931034482759,0,0.172413793103448,0.0344827586206897,0,0,0,0.0344827586206897,0.0689655172413793,0.275862068965517,0,0,0.142857142857143,0,0,0,0,0.310344827586207,0,0.103448275862069,0,0.0344827586206897,1.68965517241379,0,0,0.172413793103448,0,0.344827586206897,0.310344827586207,0,2.6551724137931,0,0.896551724137931,0.241379310344828,0.0344827586206897,0,0.0344827586206897,0,0.0344827586206897,0,0,0.0689655172413793,0.0689655172413793,0.379310344827586,3.20689655172414,0,0,0.275862068965517,0.137931034482759,0,0,0,0.137931034482759,0.0344827586206897,0.379310344827586,0.103448275862069,0,0,0.931034482758621,0,0.0344827586206897,0.206896551724138,0,1.84615384615385,0.137931034482759,0.137931034482759,0,0,0,0,0.310344827586207,0.103448275862069,0.896551724137931,0,0,0,0,0,0.344827586206897,0,4.08695652173913,0.0344827586206897,0,0,0.103448275862069,0.275862068965517,0,0.0689655172413793,0,0.0344827586206897,0,0,0.0344827586206897,0,0.344827586206897,0,0.0689655172413793,0.0689655172413793,0,0.172413793103448,0,0,0.103448275862069,0,0.241379310344828,0.275862068965517,0.586206896551724,0.103448275862069,0.0689655172413793,0,0,0,0,0,0,0.0344827586206897,1.93103448275862,0,0.137931034482759,0,0.0344827586206897,0,0,0,0.222222222222222,0,0.0344827586206897,1.93103448275862,0.103448275862069,0,0.0689655172413793,0.172413793103448,0,0.0344827586206897,0,0.448275862068966,0.0689655172413793,0.103448275862069,0,0.137931034482759,0.037037037037037,0,0,0.620689655172414,0.241379310344828,0.172413793103448,0.0344827586206897,0.206896551724138,0.310344827586207,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0.586206896551724,1.72413793103448,0,0,0.413793103448276,0.241379310344828,0.0344827586206897,0.206896551724138,0.448275862068966,0,0.103448275862069,0.137931034482759,0,0.0344827586206897,0.103448275862069,0.241379310344828,0.103448275862069,1.62068965517241,0.0344827586206897,0.0344827586206897,0,0,0,0,0.551724137931034,0,0,0,0,0,0,0,0,0,0,0.172413793103448,0,0,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0,39.6643803750251
"2",2021-08-08,0.125,0.125,0.0625,0.125,0.09375,0.03125,0.28125,0,0.0625,0,0.125,0,0.15625,0.03125,0,0,0,0.03125,0.0625,0.25,0,0,0.125,0,0,0,0,0.28125,0,0.0625,0,0.03125,1.4375,0,0,0.125,0.03125,0.3125,0.28125,0,2.3125,0,0.78125,0.21875,0.03125,0,0.03125,0,0.03125,0,0,0.0625,0.0625,0.3125,2.875,0,0,0.25,0.125,0,0,0,0.125,0.03125,0.34375,0.09375,0,0,0.875,0,0.03125,0.1875,0,1.63333333333333,0.125,0.125,0,0,0,0,0.25,0.09375,0.8125,0,0,0,0,0,0.3125,0,3.53846153846154,0.03125,0,0,0.09375,0.28125,0,0.0625,0,0,0,0,0.03125,0,0.3125,0,0.0625,0.0625,0,0.15625,0,0,0.09375,0,0.25,0.25,0.53125,0.09375,0.0625,0,0,0,0,0,0,0.03125,1.71875,0,0.125,0,0.0625,0,0,0,0.193548387096774,0,0.03125,1.78125,0.0625,0,0.0625,0.125,0,0.03125,0,0.40625,0.0625,0.09375,0,0.125,0.032258064516129,0,0,0.5625,0.1875,0.15625,0.03125,0.15625,0.28125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0.53125,1.625,0,0,0.375,0.25,0.03125,0.1875,0.375,0,0.09375,0.125,0,0.03125,0.09375,0.21875,0.09375,1.375,0.03125,0.03125,0,0,0,0,0.53125,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0.03125,0.125,0.09375,0,0,35.3038513234078
"3",2021-08-15,0.108108108108108,0.108108108108108,0.0540540540540541,0.135135135135135,0.0810810810810811,0.027027027027027,0.27027027027027,0,0.0540540540540541,0,0.108108108108108,0,0.135135135135135,0.027027027027027,0,0,0,0.027027027027027,0.0540540540540541,0.216216216216216,0,0,0.111111111111111,0,0,0,0,0.243243243243243,0,0.0540540540540541,0,0.027027027027027,1.13513513513514,0,0,0.162162162162162,0,0.27027027027027,0.243243243243243,0,2.08108108108108,0,0.702702702702703,0.189189189189189,0.027027027027027,0,0.027027027027027,0,0.027027027027027,0,0,0.0540540540540541,0.0540540540540541,0.297297297297297,2.48648648648649,0,0,0.216216216216216,0.135135135135135,0,0,0,0.0810810810810811,0.027027027027027,0.324324324324324,0.0540540540540541,0,0,0.72972972972973,0,0.027027027027027,0.162162162162162,0,1.38235294117647,0.108108108108108,0.108108108108108,0,0,0,0,0.189189189189189,0.0810810810810811,0.702702702702703,0,0,0,0,0,0.27027027027027,0,3.03333333333333,0.027027027027027,0,0,0.108108108108108,0.216216216216216,0,0.0540540540540541,0,0,0,0,0.027027027027027,0,0.27027027027027,0,0.0540540540540541,0.0540540540540541,0,0.162162162162162,0,0,0.0810810810810811,0,0.189189189189189,0.27027027027027,0.486486486486487,0.0810810810810811,0.0540540540540541,0,0,0,0,0,0,0.027027027027027,1.43243243243243,0,0.108108108108108,0,0.027027027027027,0,0,0,0.2,0,0.027027027027027,1.56756756756757,0.0540540540540541,0,0.0540540540540541,0.135135135135135,0,0.027027027027027,0,0.351351351351351,0.0540540540540541,0.0810810810810811,0,0.135135135135135,0.0285714285714286,0,0,0.513513513513513,0.189189189189189,0.135135135135135,0.027027027027027,0.162162162162162,0.243243243243243,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0.45945945945946,1.2972972972973,0,0,0.324324324324324,0.189189189189189,0.027027027027027,0.162162162162162,0.324324324324324,0,0.0810810810810811,0.135135135135135,0.027027027027027,0.0540540540540541,0.0810810810810811,0.189189189189189,0.0810810810810811,1.13513513513514,0.027027027027027,0.027027027027027,0,0,0,0,0.432432432432432,0,0,0,0,0,0,0,0,0,0,0.135135135135135,0,0,0.027027027027027,0.108108108108108,0.0810810810810811,0,0,30.5912761500997
"4",2021-08-22,0.125,0.125,0.0625,0.125,0.09375,0.03125,0.3125,0,0.0625,0,0.125,0,0.15625,0.03125,0,0,0,0.03125,0.0625,0.25,0,0,0.125,0,0,0,0,0.28125,0,0.0625,0,0.03125,1.28125,0,0,0.15625,0,0.3125,0.28125,0,2.4375,0,0.8125,0.21875,0.03125,0,0.03125,0,0.03125,0,0,0.0625,0.0625,0.34375,2.71875,0,0,0.28125,0.125,0,0,0,0.09375,0.03125,0.34375,0.0625,0,0,0.84375,0,0.03125,0.1875,0,1.58620689655172,0.125,0.125,0,0,0,0,0.21875,0.125,0.8125,0,0,0,0,0,0.375,0,3.65384615384615,0.03125,0,0,0.09375,0.25,0,0.0625,0,0.03125,0,0,0.03125,0,0.3125,0,0.0625,0.0625,0,0.1875,0,0,0.09375,0,0.25,0.46875,0.5625,0.09375,0.0625,0,0,0,0,0,0,0.03125,1.59375,0,0.125,0,0.03125,0,0,0,0.2,0,0.03125,1.90625,0.0625,0,0.0625,0.15625,0,0.03125,0,0.4375,0.0625,0.09375,0,0.125,0.0333333333333333,0,0,0.53125,0.21875,0.15625,0.03125,0.21875,0.28125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0.53125,1.34375,0,0,0.375,0.21875,0.03125,0.1875,0.40625,0,0.09375,0.125,0.03125,0.03125,0.09375,0.21875,0.09375,1.40625,0.03125,0.03125,0,0,0,0,0.53125,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0.03125,0.125,0.09375,0,0,35.4421363837312
"5",2021-08-29,0.125,0.15625,0.0625,0.125,0.125,0.03125,0.34375,0,0.0625,0,0.125,0,0.15625,0.03125,0,0,0,0.03125,0.0625,0.25,0,0,0.125,0,0,0,0,0.25,0,0.09375,0,0.0625,1.53125,0,0,0.125,0,0.3125,0.28125,0,2.51612903225806,0,0.8125,0.21875,0.03125,0,0.03125,0,0.03125,0,0,0.0625,0.0625,0.3125,2.71875,0,0,0.28125,0.15625,0,0,0,0.125,0.03125,0.3125,0.0625,0,0,0.875,0,0.03125,0.1875,0,1.58620689655172,0.15625,0.125,0,0,0,0,0.21875,0.09375,0.75,0,0,0,0,0,0.40625,0,3.76,0.03125,0,0,0.125,0.25,0,0.0625,0,0.03125,0,0,0.03125,0,0.3125,0,0.0625,0.0625,0,0.1875,0,0,0.09375,0,0.25,0.625,0.53125,0.09375,0.0625,0,0,0,0,0,0,0.03125,2.1875,0,0.125,0,0.0625,0,0,0,0.433333333333333,0,0.03125,1.59375,0.0625,0,0.0625,0.15625,0,0.03125,0,0.40625,0.0625,0.09375,0,0.125,0.0333333333333333,0,0,0.5625,0.21875,0.15625,0.03125,0.21875,0.3125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0.5,1.4375,0,0,0.40625,0.21875,0.03125,0.1875,0.40625,0,0.09375,0.125,0,0.03125,0.09375,0.21875,0.09375,1.28125,0.03125,0.03125,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0.03125,0.125,0.09375,0,0,36.6102525954765
"6",2021-09-05,0.121212121212121,0.151515151515152,0.0606060606060606,0.121212121212121,0.121212121212121,0.0303030303030303,0.333333333333333,0,0.0606060606060606,0,0.121212121212121,0,0.151515151515152,0.0303030303030303,0,0,0,0.0303030303030303,0.0606060606060606,0.242424242424242,0,0,0.125,0,0,0,0,0.272727272727273,0,0.0606060606060606,0,0.0303030303030303,1.36363636363636,0,0,0.121212121212121,0,0.303030303030303,0.242424242424242,0,2.24242424242424,0,0.787878787878788,0.212121212121212,0.0303030303030303,0,0.0303030303030303,0,0.0303030303030303,0,0,0.0606060606060606,0.0909090909090909,0.303030303030303,2.60606060606061,0,0,0.303030303030303,0.121212121212121,0,0,0,0.0909090909090909,0.0303030303030303,0.242424242424242,0.0606060606060606,0,0,0.848484848484849,0,0.0303030303030303,0.212121212121212,0,1.46666666666667,0.121212121212121,0.151515151515152,0,0,0,0,0.212121212121212,0.0909090909090909,0.757575757575758,0,0,0,0,0,0.424242424242424,0,3.42307692307692,0.0303030303030303,0,0,0.0909090909090909,0.242424242424242,0,0.0606060606060606,0,0.0303030303030303,0,0,0.0303030303030303,0,0.303030303030303,0,0.0606060606060606,0.0606060606060606,0,0.181818181818182,0,0,0.0909090909090909,0,0.212121212121212,1.12121212121212,0.515151515151515,0.0909090909090909,0.0606060606060606,0,0,0,0,0,0,0.0303030303030303,1.84848484848485,0,0.0909090909090909,0,0.0606060606060606,0,0,0,0.483870967741935,0,0.0303030303030303,1.60606060606061,0.0606060606060606,0,0.0606060606060606,0.151515151515152,0,0.0303030303030303,0,0.393939393939394,0.0909090909090909,0.0909090909090909,0,0.121212121212121,0.032258064516129,0,0,0.545454545454545,0.212121212121212,0.151515151515152,0.0303030303030303,0.181818181818182,0.303030303030303,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0,0.484848484848485,1.21212121212121,0,0,0.363636363636364,0.151515151515152,0.0303030303030303,0.181818181818182,0.393939393939394,0,0.0909090909090909,0.121212121212121,0.0303030303030303,0.0303030303030303,0.0909090909090909,0.212121212121212,0.0909090909090909,1.24242424242424,0.0303030303030303,0.0303030303030303,0,0,0,0,0.484848484848485,0,0,0,0,0,0,0,0,0,0,0.151515151515152,0,0,0.0303030303030303,0.121212121212121,0.0909090909090909,0,0,34.8717817129108
"7",2021-09-12,0.125,0.15625,0.09375,0.125,0.125,0.03125,0.40625,0,0.09375,0,0.125,0,0.1875,0.03125,0,0,0,0.03125,0.0625,0.28125,0,0,0.125,0,0,0,0,0.28125,0,0.09375,0,0.03125,1.28125,0,0,0.125,0,0.3125,0.28125,0,2.25,0,0.8125,0.21875,0.03125,0,0.03125,0,0.03125,0,0,0.0625,0.0625,0.34375,2.84375,0,0,0.3125,0.15625,0,0,0,0.125,0.03125,0.3125,0.0625,0,0,1,0,0.03125,0.21875,0,1.51724137931034,0.15625,0.15625,0,0,0,0,0.21875,0.09375,0.84375,0,0,0,0,0,0.34375,0,3.8,0.03125,0,0,0.09375,0.25,0,0.0625,0,0.03125,0,0,0.03125,0,0.34375,0,0.0625,0.0625,0,0.1875,0,0,0.09375,0,0.25,0.21875,0.5625,0.09375,0.09375,0,0,0,0,0,0,0.03125,1.78125,0,0.125,0,0.0625,0,0,0,0.333333333333333,0,0.03125,1.71875,0.0625,0,0.0625,0.15625,0,0.03125,0,0.4375,0.09375,0.09375,0,0.15625,0.0333333333333333,0,0,0.5625,0.25,0.1875,0.03125,0.21875,0.3125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0.46875,1.625,0,0,0.4375,0.25,0.03125,0.1875,0.40625,0,0.09375,0.15625,0.03125,0.03125,0.09375,0.21875,0.09375,1.3125,0.03125,0.03125,0,0,0,0,0.4375,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0.03125,0.125,0.0625,0,0,36.308908045977
"8",2021-09-19,0.161290322580645,0.193548387096774,0.0967741935483871,0.193548387096774,0.129032258064516,0.032258064516129,0.483870967741935,0,0.0967741935483871,0,0.161290322580645,0,0.193548387096774,0.032258064516129,0,0,0,0.032258064516129,0.0645161290322581,0.290322580645161,0,0,0.142857142857143,0,0,0,0,0.258064516129032,0,0.0645161290322581,0,0.032258064516129,1.29032258064516,0,0,0.129032258064516,0,0.32258064516129,0.290322580645161,0,2.32258064516129,0,0.838709677419355,0.225806451612903,0.032258064516129,0,0.032258064516129,0,0.032258064516129,0,0,0.0645161290322581,0.0645161290322581,0.32258064516129,2.70967741935484,0,0,0.354838709677419,0.129032258064516,0,0,0,0.0967741935483871,0.032258064516129,0.451612903225806,0.0645161290322581,0,0,1.16129032258065,0,0.032258064516129,0.258064516129032,0,1.60714285714286,0.129032258064516,0.161290322580645,0,0,0,0,0.193548387096774,0.161290322580645,0.870967741935484,0,0,0,0,0,0.354838709677419,0,3.68,0.032258064516129,0,0,0.0967741935483871,0.258064516129032,0,0.0645161290322581,0,0.032258064516129,0,0,0.032258064516129,0,0.354838709677419,0,0.0645161290322581,0.0645161290322581,0,0.193548387096774,0,0,0.0967741935483871,0,0.258064516129032,0.225806451612903,0.580645161290323,0.129032258064516,0.0967741935483871,0,0,0,0,0,0,0.032258064516129,1.83870967741935,0,0.129032258064516,0,0.0645161290322581,0,0,0,0.344827586206897,0,0.032258064516129,1.80645161290323,0.0645161290322581,0,0.0645161290322581,0.161290322580645,0,0.032258064516129,0,0.451612903225806,0.0967741935483871,0.0967741935483871,0,0.129032258064516,0.0344827586206897,0,0,0.612903225806452,0.258064516129032,0.193548387096774,0.032258064516129,0.225806451612903,0.354838709677419,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0.548387096774194,1.61290322580645,0,0,0.419354838709677,0.193548387096774,0.032258064516129,0.193548387096774,0.419354838709677,0,0.0967741935483871,0.129032258064516,0.032258064516129,0.032258064516129,0.0967741935483871,0.225806451612903,0.0967741935483871,1.2258064516129,0.032258064516129,0.032258064516129,0,0,0,0,0.354838709677419,0,0,0,0,0,0,0,0,0,0,0.161290322580645,0,0,0.032258064516129,0.129032258064516,0.0967741935483871,0,0,37.1883426028921
"9",2021-09-26,0.166666666666667,0.166666666666667,0.1,0.166666666666667,0.133333333333333,0.0333333333333333,0.966666666666667,0,0.1,0,0.2,0.0333333333333333,0.2,0.0333333333333333,0,0,0,0.0333333333333333,0.0666666666666667,0.3,0,0,0.142857142857143,0,0,0,0,0.266666666666667,0,0.0666666666666667,0,0.0333333333333333,1.5,0,0,0.133333333333333,0,0.3,0.3,0,2.46666666666667,0,0.833333333333333,0.233333333333333,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333,0,0,0.0666666666666667,0.0666666666666667,0.333333333333333,3.03333333333333,0,0,0.366666666666667,0.133333333333333,0,0,0,0.1,0.0333333333333333,0.4,0.0666666666666667,0,0,1.1,0,0.0333333333333333,0.233333333333333,0,1.74074074074074,0.166666666666667,0.166666666666667,0,0,0,0,0.233333333333333,0.1,0.866666666666667,0,0,0,0,0,0.333333333333333,0,3.79166666666667,0.0333333333333333,0,0,0.1,0.266666666666667,0,0.0666666666666667,0,0.0333333333333333,0,0,0.0333333333333333,0,0.366666666666667,0,0.0666666666666667,0.0666666666666667,0,0.2,0,0,0.1,0,0.266666666666667,0.2,0.566666666666667,0.133333333333333,0.1,0,0,0,0,0,0,0.0333333333333333,1.9,0,0.133333333333333,0,0.0666666666666667,0,0,0,0.214285714285714,0,0.0333333333333333,1.86666666666667,0.1,0,0.0666666666666667,0.166666666666667,0,0.0333333333333333,0,0.433333333333333,0.1,0.1,0,0.166666666666667,0.0357142857142857,0,0,0.6,0.233333333333333,0.2,0.0333333333333333,0.233333333333333,0.3,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0.5,1.63333333333333,0,0,0.466666666666667,0.166666666666667,0.0333333333333333,0.2,0.366666666666667,0,0.1,0.133333333333333,0,0.0333333333333333,0.133333333333333,0.233333333333333,0.1,1.23333333333333,0,0.0333333333333333,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.0333333333333333,0.133333333333333,0.0666666666666667,0,0,38.4646584896585
"10",2021-10-03,0.166666666666667,0.2,0.1,0.2,0.133333333333333,0.0333333333333333,1.1,0,0.1,0,0.2,0.0333333333333333,0.2,0.0666666666666667,0,0,0,0.0333333333333333,0.0666666666666667,0.3,0,0,0.142857142857143,0,0,0,0,0.266666666666667,0,0.0666666666666667,0,0.0333333333333333,1.5,0,0,0.133333333333333,0,0.3,0.333333333333333,0,2.4,0,0.833333333333333,0.233333333333333,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333,0,0,0.0666666666666667,0.0666666666666667,0.333333333333333,3.13333333333333,0,0,0.366666666666667,0.133333333333333,0,0,0,0.1,0.0333333333333333,0.433333333333333,0.1,0,0,1.06666666666667,0,0.0333333333333333,0.233333333333333,0,1.62962962962963,0.166666666666667,0.133333333333333,0,0,0,0,0.233333333333333,0.1,0.866666666666667,0,0,0,0,0,0.366666666666667,0,3.875,0.0333333333333333,0,0,0.1,0.266666666666667,0,0.1,0,0.0333333333333333,0,0,0.0333333333333333,0,0.366666666666667,0,0.0666666666666667,0.0666666666666667,0,0.2,0,0,0.1,0,0.266666666666667,0.2,0.6,0.133333333333333,0.1,0,0,0,0,0,0,0.0333333333333333,1.86666666666667,0,0.133333333333333,0,0.0666666666666667,0,0,0,0.178571428571429,0,0.0333333333333333,1.93333333333333,0.1,0,0.0666666666666667,0.166666666666667,0,0,0,0.466666666666667,0.1,0.1,0,0.166666666666667,0.0357142857142857,0,0,0.6,0.233333333333333,0.2,0.0333333333333333,0.233333333333333,0.3,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0.533333333333333,1.7,0,0,0.466666666666667,0.2,0.0333333333333333,0.233333333333333,0.366666666666667,0,0.133333333333333,0.166666666666667,0.0333333333333333,0.0333333333333333,0.133333333333333,0.233333333333333,0.1,1.4,0.0333333333333333,0.0333333333333333,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.0333333333333333,0.133333333333333,0.0666666666666667,0,0,39.3011664261664
