"","titles","contents"
"1","Devices that distance the author from a proposition","It has been reported that"
"2","Devices that distance the author from a proposition","It is a widely held view that"
"3","Devices that distance the author from a proposition","It has commonly been assumed that"
"4","Devices that distance the author from a proposition","According to Smith (2002),"
"5","Devices that distance the author from a proposition","According to recent reports,"
"6","Devices that distance the author from a proposition","According to many in the field"
"7","Devices that distance the author from a proposition","Many scholars hold the view that"
"8","Devices that distance the author from a proposition","Smith (2001) holds the view that"
"9","Devices that distance the author from a proposition","Recent research has suggested that"
"10","Devices that distance the author from a proposition","There is some evidence to suggest that"
"11","Devices that distance the author from a proposition","If Smith’s (2001) findings are accurate,"
"12","Being cautious when giving explanations","These frequent storms"
"13","Being cautious when giving explanations","may becould bemight beare almost certainly"
"14","Being cautious when giving explanations","due to climate change"
"15","Being cautious when giving explanations","It may beIt is likelyIt could beIt is possibleIt is probableIt is almost certain"
"16","Being cautious when giving explanations","the more extreme weather"
"17","Being cautious when giving explanations","is a result of climate change"
"18","Being cautious when giving explanations","A likely explanationA probable explanationA possible explanation"
"19","Being cautious when giving explanations","these frequent storms"
"20","Being cautious when giving explanations","are a result of climate change"
"21","Being cautious when explaining results","This inconsistency may be due to"
"22","Being cautious when explaining results","This discrepancy could be attributed to"
"23","Being cautious when explaining results","A possible explanation for this might be that"
"24","Being cautious when explaining results","This rather contradictory result may be due to"
"25","Being cautious when explaining results","It seems possible that these results are due to"
"26","Being cautious when explaining results","The observed increase in X could be attributed to"
"27","Being cautious when explaining results","The possible interference of X cannot be ruled out"
"28","Being cautious when explaining results","There are several possible explanations for this result"
"29","Being cautious when explaining results","There are two likely causes for the differences between"
"30","Being cautious when explaining results","A possible explanation for these results may be the lack of adequate"
"31","Being cautious when explaining results","Since this difference has not been found elsewhere it is probably not due to"
"32","Advising cautious interpretation of results","(Also refer to Discussing Findings)"
"33","Advising cautious interpretation of results","These findings cannot be extrapolated to all patients"
"34","Advising cautious interpretation of results","These data must be interpreted with caution because"
"35","Advising cautious interpretation of results","These results therefore need to be interpreted with caution"
"36","Advising cautious interpretation of results","These results do not rule out the influence of other factors in"
"37","Advising cautious interpretation of results","This account must be approached with some caution because"
"38","Advising cautious interpretation of results","It is important to bear in mind the possible bias in these responses"
"39","Advising cautious interpretation of results","Although exclusion of X did not"
"40","Advising cautious interpretation of results",", these results should be interpreted with caution"
"41","Advising cautious interpretation of results","However, with a small sample size, caution must be applied, as the findings might not be"
"42","Being cautious when discussing implications","The findings of this study suggest that"
"43","Being cautious when discussing implications","One possible implication of this is that"
"44","Being cautious when discussing implications","Taken together, these results suggest that"
"45","Being cautious when discussing implications","The evidence from this study suggests that"
"46","Being cautious when discussing implications","Initial observations suggest that there may be a link between"
"47","Being cautious when discussing implications","The data reported here appear to support the assumption that"
"48","Being cautious when discussing implications","The findings from these studies suggest that X can have an effect on"
"49","Being cautious when discussing recommendations","Strategies to enhance X might involve"
"50","Being cautious when discussing recommendations","Other types of response could include: a), b)"
"51","Being cautious when discussing recommendations","These results would seem to suggest that the"
"52","Being cautious when discussing recommendations","There would therefore seem to be a definite need for"
"53","Being cautious when discussing recommendations","A reasonable approach to tackle this issue could be to"
"54","Being cautious when discussing recommendations","Another possible area of future research would be to investigate why"
"55","Being cautious when writing about the future","maycouldmightis likely towill probablywill almost certainly"
"56","Being cautious when writing about the future","become more common in the future"
"57","Being cautious when writing about the future","It is likelyIt is possibleIt is almost certainThere is a possibilityThere is a small chanceThere is a strong possibility"
"58","Being cautious when writing about the future","(that) the situation will improve in the long term"
"59","Devices for avoiding over-generalisation","In general, this requires"
"60","Devices for avoiding over-generalisation","In general terms, this means"
"61","Devices for avoiding over-generalisation","Xs use generally accepted principles to"
"62","Devices for avoiding over-generalisation","X is generally assumed to play a role in"
"63","Devices for avoiding over-generalisation","Authors generally place an emphasis on"
"64","Devices for avoiding over-generalisation","Generally accepted methods for X include:"
"65","Devices for avoiding over-generalisation","Studies which show no effect are not generally published"
"66","Devices for avoiding over-generalisation","Research articles generally consist of the following components:Quantitative research is generally associated with the positivist paradigm"
"67","Devices for avoiding over-generalisation","oftengenerallyfrequentlysometimesoccasionallynearly always"
"68","Devices for avoiding over-generalisation","exceed WHO levels in many cities"
"69","Devices for avoiding over-generalisation","mostalmost allsome types ofmany types ofthe majority ofcertain types of"
"70","Devices for avoiding over-generalisation","Ozone tends to attack cells and break down tissues"
"71","Devices for avoiding over-generalisation","There is a tendency for ozone to attack cells"
"72","Highlighting inadequacies of previous studies","Previous studies of X have not dealt with"
"73","Highlighting inadequacies of previous studies","Researchers have not treated X in much detail"
"74","Highlighting inadequacies of previous studies","Such expositions are unsatisfactory because they"
"75","Highlighting inadequacies of previous studies","Most studies in the field of X have only focused on"
"76","Highlighting inadequacies of previous studies","Such approaches, however, have failed to address"
"77","Highlighting inadequacies of previous studies","Previous published studies are limited to local surveys"
"78","Highlighting inadequacies of previous studies","Half of the studies evaluated failed to specify whether"
