location,IAS 11,IFRS 17,IFRS 16,IAS 38,IAS 40,IAS 17,IAS 18,IAS 36,IFRS 3,IAS 12,IFRS 15,IFRS 9,IFRS 4,IAS 19,CF,IFRS 5,IAS 39,IAS 7,IAS 37,IAS 1,IFRS,IAS 16,IAS 2,IFRS 2,IAS 10,IAS 8,IAS 20,IAS 21,IAS 23,IAS 24,IAS 26,IAS 27,IAS 28,IAS 29,IAS 32,IAS 33,IAS 34,IAS 41,IFRS 1,IFRS 10,IFRS 11,IFRS 12,IFRS 13,IFRS 14,IFRS 6,IFRS 7,IFRS 8
Ghana,100,0,25,32,61,40,37,28,14,35,21,31,100,22,23,23,35,30,20,35,36,32,49,32,36,26,99,14,0,100,0,100,0,0,0,100,0,0,34,40,0,0,0,0,0,66,100
Nigeria,42,16,11,16,17,15,12,13,18,11,8,17,81,10,9,17,17,12,11,14,31,13,18,21,8,10,0,6,0,0,0,0,0,0,0,0,0,54,24,28,0,0,0,0,0,0,0
United Arab Emirates,31,15,31,13,9,10,12,6,11,3,19,24,0,6,2,10,16,6,7,5,26,8,8,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,61,0,0,33,0
Pakistan,30,10,13,13,9,15,12,12,6,12,10,12,0,14,2,9,13,11,12,9,14,14,16,15,9,6,26,7,100,54,0,57,0,0,0,0,0,38,0,0,0,0,40,100,0,0,0
South Africa,15,26,35,13,21,14,15,10,14,14,24,27,57,16,7,14,23,5,10,8,22,14,17,25,5,8,11,7,64,60,0,0,100,0,100,0,100,15,13,17,100,100,62,56,0,43,39
Kenya,14,21,15,11,19,15,0,0,0,0,7,27,0,12,11,0,21,16,0,10,25,9,14,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,8,10,12,3,5,8,5,2,6,3,8,13,38,6,17,3,12,4,2,4,12,3,4,6,3,2,0,0,28,0,0,0,0,0,51,0,0,40,11,15,79,58,42,0,0,20,0
Malaysia,8,16,11,9,7,5,5,7,6,4,9,11,19,5,7,6,8,3,8,3,11,4,6,8,4,3,0,4,0,0,0,0,65,0,47,0,0,0,5,12,34,0,45,0,0,0,22
United Kingdom,7,12,13,6,3,7,4,4,6,4,7,8,21,9,2,4,11,3,5,3,8,3,3,8,2,2,3,1,11,25,0,13,38,0,28,9,56,5,5,7,22,30,23,0,11,12,13
Germany,6,8,9,4,2,3,2,2,3,2,4,6,22,6,0,2,7,1,2,1,9,1,1,4,1,1,0,1,0,8,0,7,30,1,13,0,31,0,3,5,27,18,14,0,0,7,12
Italy,4,4,5,3,1,3,2,3,3,1,2,6,12,4,0,2,10,2,2,2,3,1,1,2,1,1,2,0,0,8,0,13,34,0,22,0,26,0,2,4,9,0,11,0,0,6,0
France,4,5,4,2,1,3,1,1,2,1,1,2,10,3,0,2,3,1,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,7,0,15,0,1,2,11,0,3,0,0,3,5
Canada,3,14,8,3,1,3,3,2,3,2,5,7,21,2,1,1,5,1,2,1,9,1,1,4,1,1,0,1,0,16,0,2,33,0,21,0,39,5,4,2,20,17,17,0,0,6,6
India,3,3,2,1,1,1,1,1,1,1,2,3,9,2,0,1,2,1,1,2,8,1,3,2,5,1,2,1,6,8,100,6,17,0,11,5,17,3,4,5,22,11,10,43,18,4,6
Russia,2,1,1,1,1,1,1,1,0,0,0,6,0,1,0,1,2,1,1,1,13,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brazil,1,2,5,1,0,1,1,1,1,0,2,3,4,1,0,0,1,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,4,0,0,2,4
United States,1,1,1,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,2,4,0,2,0,4,0,1,1,3,3,2,0,0,1,2
Hong Kong,0,100,37,5,2,6,0,2,7,0,16,34,91,9,5,7,18,0,5,3,19,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
St. Helena,0,77,44,0,0,0,0,0,0,0,40,55,0,31,0,0,23,0,0,5,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,74,90,100,100,100,100,100,100,100,100,100,0,100,71,100,90,100,100,100,79,100,100,100,100,100,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
Luxembourg,0,44,47,0,0,0,0,0,0,0,23,59,0,0,0,0,45,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,40,39,11,9,8,11,11,12,7,19,25,54,13,6,8,25,0,10,5,27,6,5,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,0,0,0,22,0
Taiwan,0,29,17,0,0,5,3,1,7,0,7,13,33,7,0,2,14,0,0,1,16,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,29,0,0,0,0,26,0,0,0,0,17,0,0,19,21,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,0,25,0,0,0,0,0,0,0,0,14,35,0,0,7,0,0,0,0,0,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,24,73,80,31,51,69,73,0,34,50,98,0,0,17,47,100,42,51,51,56,31,51,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Jordan,0,23,32,0,0,0,2,0,0,0,6,15,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,0,20,4,0,0,0,0,0,0,0,3,6,81,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,9,0
Cyprus,0,20,33,0,39,0,0,0,0,0,14,51,0,0,2,0,69,0,0,11,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,19,16,14,4,12,10,6,12,5,11,12,0,8,2,8,15,6,9,4,11,7,6,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
New Zealand,0,18,31,18,0,11,8,7,14,8,14,13,0,5,5,9,11,6,7,6,11,5,7,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,100,0,0,0,0
Switzerland,0,17,11,0,0,3,0,2,5,0,5,6,0,21,0,0,5,0,0,0,10,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,13,10,5,4,0,0,5,4,0,5,11,0,10,0,3,13,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0,10,8,0,0,0,0,0,0,0,10,9,0,0,10,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,10,3,2,0,0,0,0,0,0,2,4,0,6,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,9,10,0,3,0,0,5,2,0,3,5,0,0,0,0,6,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,9,11,3,2,3,2,2,3,2,5,5,0,3,6,2,6,2,3,2,6,2,2,4,1,1,0,1,0,12,0,0,25,0,22,0,27,0,0,5,23,0,23,0,0,7,10
Greece,0,8,3,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,7,11,9,0,0,4,10,12,9,7,6,0,12,0,8,14,7,8,3,5,4,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
Netherlands,0,7,8,2,0,3,2,2,2,2,4,5,13,4,0,1,4,0,2,1,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0
Portugal,0,7,12,4,0,0,0,0,5,0,3,8,0,0,0,0,9,0,0,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,6,11,0,0,0,0,0,0,0,4,6,0,4,0,0,5,0,0,1,9,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,5,4,0,0,0,0,0,0,0,2,4,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,4,14,8,0,6,0,0,0,0,4,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,4,3,1,0,1,1,1,2,0,2,3,0,2,2,1,2,1,0,0,17,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,18,66,52,37,0,100,10,31
Thailand,0,4,4,0,0,0,1,1,2,0,1,5,0,2,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,3,3,1,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,3,9,4,0,0,0,2,3,0,3,4,0,3,1,0,5,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,3,4,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,2,4,0,0,1,1,1,2,1,2,1,0,3,1,1,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vietnam,0,2,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,5,0,0,0,0
Chile,0,2,3,0,0,0,0,0,1,0,1,2,0,0,2,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Turkey,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,1,1,0,0,0,1,0,0,0,0,1,0,1,6,0,1,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,1,2,0,0,0,1,0,0,1,0,1,0,2,2,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
