date,IAS 11,IFRS 17,IFRS 16,IAS 38,IAS 40,IAS 17,IAS 18,IAS 36,IFRS 3,IAS 12,IFRS 15,IFRS 9,IFRS 4,IAS 19,CF,IFRS 5,IAS 39,IAS 7,IAS 37,IAS 1,IFRS,IAS 16,IAS 2,IFRS 2,IAS 10,IAS 8,IAS 20,IAS 21,IAS 23,IAS 24,IAS 26,IAS 27,IAS 28,IAS 29,IAS 32,IAS 33,IAS 34,IAS 41,IFRS 1,IFRS 10,IFRS 11,IFRS 12,IFRS 13,IFRS 14,IFRS 6,IFRS 7,IFRS 8,total
2014-05-01,89,0,1,100,47,73,72,89,67,45,5,16,52,92,69,73,77,63,82,83,81,70,76,43,60,52,79,89,58,67,51,50,76,67,56,98,43,59,51,67,79,85,81,35,30,80,23,2901
2014-06-01,77,0,2,67,26,86,55,58,65,42,20,31,58,100,57,43,74,89,60,82,78,92,87,60,54,47,16,42,43,83,14,71,56,15,56,31,32,66,62,42,83,100,76,90,25,76,41,2630
2014-07-01,54,2,2,56,45,75,68,66,68,57,24,28,65,90,43,75,92,37,51,72,70,74,52,79,81,96,53,47,14,73,82,69,18,15,60,61,62,46,67,61,100,75,70,63,48,84,81,2771
2014-08-01,64,2,2,59,64,62,54,66,41,41,15,35,30,72,82,89,56,55,58,75,76,70,60,32,48,67,43,66,49,48,27,46,37,15,71,91,54,37,44,41,71,52,66,25,24,60,65,2407
2014-09-01,72,0,2,80,43,72,90,54,44,58,28,35,75,83,98,49,58,75,36,78,99,56,79,75,69,68,41,79,27,54,52,66,26,28,52,43,44,26,100,93,46,49,34,72,38,57,53,2656
2014-10-01,83,0,1,79,70,60,78,88,71,63,16,32,63,70,83,68,90,54,84,78,100,92,81,80,77,65,44,65,38,29,63,84,100,40,100,55,70,100,68,100,69,78,100,57,22,92,32,3132
2014-11-01,99,4,0,63,65,94,86,93,72,56,31,35,56,59,79,69,79,72,48,67,95,99,100,81,63,52,44,54,64,37,25,100,85,68,76,42,36,85,63,64,84,58,81,58,30,84,65,3020
2014-12-01,49,4,2,54,53,69,57,44,80,49,14,21,68,59,63,69,79,51,57,70,72,63,87,51,67,55,64,43,51,22,25,57,59,54,45,56,50,59,39,78,48,37,48,58,52,71,56,2479
2015-01-01,83,2,1,43,55,49,83,68,47,46,29,18,67,69,64,32,68,43,50,70,74,74,64,63,73,82,37,47,24,28,47,46,39,13,38,26,13,39,46,45,61,30,64,22,21,85,61,2249
2015-02-01,100,7,2,52,59,66,82,41,72,76,27,23,93,93,68,57,69,51,45,83,83,71,89,73,71,66,89,44,84,30,38,50,94,27,77,56,65,43,57,87,62,91,53,47,37,85,56,2891
2015-03-01,78,2,3,69,65,83,79,71,82,73,31,28,100,75,86,92,100,67,82,90,90,100,75,72,100,100,73,71,95,48,47,92,63,0,70,52,26,63,70,87,61,74,83,86,69,98,60,3281
2015-04-01,70,8,2,92,62,85,89,100,72,100,37,27,91,61,62,49,59,73,90,77,91,84,80,54,74,40,56,70,37,64,36,68,40,38,58,66,54,64,55,78,33,60,77,44,56,82,35,2900
2015-05-01,91,6,2,97,59,78,100,70,50,79,43,25,66,67,49,91,99,74,81,89,83,91,86,67,89,78,68,70,41,82,70,52,39,25,74,64,46,70,50,72,48,53,78,43,34,71,60,3020
2015-06-01,88,2,1,86,66,80,61,76,63,74,37,36,52,60,61,32,82,63,62,63,83,44,87,66,56,58,65,76,42,49,36,73,55,50,57,39,100,0,58,74,82,89,68,87,21,52,26,2738
2015-07-01,78,0,1,40,66,79,64,60,82,35,27,28,33,68,46,48,64,59,76,61,68,47,49,100,55,61,50,64,24,49,47,46,39,38,61,39,53,39,42,70,45,25,64,22,28,68,43,2351
2015-08-01,58,0,1,44,16,62,73,47,42,54,43,28,68,79,83,70,67,34,40,66,74,79,72,48,67,56,31,41,46,40,57,32,61,12,68,25,32,61,43,37,51,24,84,63,33,58,25,2295
