"","article","sentence"
"1","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+3","The workers who populate this market have been assessed  on dimensions that are universally relevant to understanding whether, why, and when they should be recruited as research participants."
"2","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+4","We discuss the characteristics of MTurk as a participant pool for psychology and other social sciences, highlighting the traits of the MTurk samples, why people become MTurk workers and research participants, and how data quality on MTurk compares to that from other pools and depends on controllable and uncontrollable factors."
"3","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+5","Keywords Mechanical Turk, online experimentation, data collection The Internet has democratized knowledge by lowering barriers to the consumption, dissemination, and creation of knowledge."
"4","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+6","Although social scientists have long relied on the Internet for data collection, difficulties in recruit- ing and compensating participants have inhibited data collection online."
"5","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+7","A Web site called Mechanical Turk (MTurk) has recently offered a solution to these technical challenges."
"6","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+8","MTurk is an online labor market created by Amazon to assist “requesters” in hiring and paying “workers” for the completion of computerized tasks."
"7","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+9","Tasks  (e.g.,  transcrib- ing text) are typically completed within minutes and usu- ally pay in cents rather than dollars."
"8","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+10","Social scientists have recently discovered the potential of the MTurk workforce    as a large pool of participants, constantly available to complete research studies at a low cost."
"9","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+11","Today, it is not uncommon to read empirical articles  that  are  entirely  based on data collected using MTurk."
"10","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+12","With the surge of interest in MTurk as a participant- recruitment tool have come questions regarding its reli- ability."
"11","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+16","Reservations are justified particularly because MTurk is not a participant pool, and it presents researchers with challenges that other pools do not (e.g., how to select participants on the basis of their characteristics)."
"12","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+17","We inte- grate the available evidence that speaks to whether and how researchers can use MTurk as a data-collection tool."
"13","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+18","Characteristics of MTurk Samples Workers choose to complete  MTurk  tasks  for  minimal  pay, which raises questions about who they are and why   they do so."
"14","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+19","Although payment is an important factor, self- reports indicate that workers are driven by both extrinsic  and intrinsic motives (e.g.,  workers  have  reported  that  they complete tasks “to make basic ends meet” and because “tasks are fun”; Paolacci, Chandler, & Ipeirotis, 2010; Ross, Irani, Silberman, Zaldivar,  &  Tomlinson, 2010), which suggests that the rewards of working on  MTurk are not merely monetary."
"15","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+20","In 2014, the MTurk workforce is composed of more than 500,000 individuals from 190 countries."
"16","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+21","Demographic Corresponding Author: Gabriele Paolacci, Department of Marketing Management, Rotterdam School of Management, Erasmus University Rotterdam, Burgemeester Oudlaan 50, 3062 PA Rotterdam, The Netherlands E-mail: gpaolacci@rsm.nl surveys consistently indicate that MTurk is dominated by workers residing in the United States and India, with less than a quarter of workers residing elsewhere (Paolacci et al., 2010; Ross et al., 2010)."
"17","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+22","In general, workers are diverse but not representative of the populations they are drawn from, reflecting that Internet users differ systemati- cally from non-Internet users."
"18","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+23","Workers tend to be younger (about 30 years old), overeducated, underemployed, less religious, and more liberal than the general population (Berinsky, Huber, & Lenz, 2012; Paolacci et al., 2010; Shapiro, Chandler, & Mueller, 2013)."
"19","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+24","Within the United States, Asians are overrepresented and Blacks and Hispanics are underrepresented relative to the popula- tion as a whole (Berinsky et al., 2012)."
"20","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+25","Personality studies have also revealed  differences between workers and other samples that parallel differ- ences between frequent and infrequent Internet users (Shapiro et al., 2013)."
"21","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+26","Worker samples are less extraverted than college-student and community samples (Goodman, Cryder, & Cheema, 2013; Kosara & Ziemkiewicz, 2010) and more socially anxious than the U.S. population at large (Shapiro et al., 2013)."
"22","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+27","There is also some evidence that workers are less emotionally stable (Goodman et al., 2013; Kosara & Ziemkiewicz, 2010), although they are no more likely to display clinically relevant emotional disreg- ulation than the general population (Shapiro et al., 2013)."
"23","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+28","Less is known about workers’ cognitive abilities, and this remains a fruitful area of investigation."
"24","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+29","Paolacci and colleagues (2010) found no difference between workers, undergraduates, and other Internet users on a self-report measure of numeracy that correlates highly with actual quantitative abilities."
"25","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+30","However, workers may learn more slowly and have more difficulty with complex tasks than university students, perhaps reflecting differences in age and education (Crump, McDonnell, & Gureckis, 2013)."
"26","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+32","It can replace or supplement traditional conve- nience samples, but it should not be treated as represen- tative of the general population."
"27","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+33","The sheer size of the MTurk workforce and the possibility to selectively recruit workers (described below) can also make it useful  to reach samples with specific characteristics."
"28","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+34","Sampling Issues on MTurk Workers select the tasks they wish to perform from a  large number of available alternatives."
"29","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+35","Importantly, work- ers are not necessarily qualified to complete all tasks."
"30","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+36","Requesters can decide who can and cannot participate in  a task by requiring workers to possess “qualifications” that are assigned by MTurk (e.g., country of residence, ratio of approved to submitted tasks) or by requesters themselves (e.g., on the basis of information obtained in   a prior study; J."
"31","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+38","Researchers can thus intentionally or inadvertently con- struct samples that are not representative of the worker population."
"32","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+39","How do workers choose among tasks for which they are qualified?"
"33","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+40","By default, tasks are sorted according to how recently they were posted, and recency is a major determinant of participation (Chilton, Horton, Miller, & Azenkot, 2010)."
"34","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+41","Workers can sort tasks according to addi- tional criteria, including keywords and  payments."
"35","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+42","Whereas few workers use keywords to find tasks (Chilton et al., 2010), more lucrative tasks are consistently more attractive (e.g., Buhrmester, Kwang, & Gosling, 2011; Mason & Watts, 2009)."
"36","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+43","Interestingly, workers appear to be sensitive to nominal pay rates, finding tasks that pay in multiples of 5 cents to be more attractive (Horton & Chilton, 2010)."
"37","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+44","The importance of recency and compen- sation means that participation peaks early and declines rapidly, and that researchers might acquire large samples more quickly by posting the task more than once or pay- ing workers more."
"38","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+45","Other factors affect the likelihood of workers’ seeing and selecting a task and influence the sample composi- tion, including task complexity (Kazai, Kamps, & Milic- Frayling, 2012), time of sampling (Komarov, Reinecke, & Gajos, 2013), and whether the task was discussed in an online forum ( J."
"39","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+47","Much remains to be learned about the factors that influ- ence sample composition, but these findings underscore the need to collect and report sample characteristics  rather than assume they are similar to those of earlier research studies, and caution against assuming that single studies will replicate within other MTurk samples."
"40","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+48","The fact that workers are free to select what to work on and how much work to complete raises the concern that they participate in studies that employ procedures they have seen already."
"41","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+49","Researchers can be “followed” by work- ers who find their tasks lucrative and interesting, and the high rate at which researchers seem to post non-novel tasks on MTurk is unlikely to be matched by the rate at which new individuals join the workforce."
"42","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+50","We found evi- dence in our requester history that about 10% of workers are responsible for completing 41% of tasks, and that more experienced workers are more familiar with classic para- digms within behavioral sciences (e.g., trolley problems used in moral dilemmas: J."
"43","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+51","Chandler, Mueller, & Paolacci, 2014; see also Fort, Adda, & Cohen, 2011), which suggests that their prior experiences may influence their responses in research studies."
"44","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+52","Indeed, there is evidence that practice effects influence measures assumed to reflect individual differences."
"45","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+53","Worker productivity correlates with perfor- mance on a popular test of reflexivity but not with perfor- mance on a novel but logically identical test ( J."
"46","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+54","Chandler, Mueller, & Paolacci, 2014), and Rand and colleagues (in press) found that workers’ “intuitive” preference for cooperation declined with workers’  experience but reemerged when assessed with a novel instrument."
"47","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+55","These effects can result from processing advantages gained by prior exposure to materials and the ability to draw on prior answers when forming a response."
"48","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+56","Importantly, practice effects do not generalize from specific to logically equiva- lent procedures, which suggests that these concerns can  be avoided by developing and using novel research para- digms and excluding prior participants using qualifications or other methods ( J."
"49","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+58","If this is not possible, researchers should consider avoiding MTurk samples."
"50","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+59","(Baseline) Data Quality Although data quality can be defined in several ways, research assessing MTurk on dimensions universally rele- vant to researchers supports the idea that worker  samples  are reliable."
"51","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+60","Self-reports of individual differences are psy- chometrically valid (Buhrmester et al., 2011; Shapiro et al., 2013), and the quality of linguistic judgments respondents provide is comparable to that of college samples (Sprouse, 2011)."
"52","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+61","Workers exhibit the same cognitive biases (e.g., framing effects), logical fallacies (e.g., conjunction fallacy), and behavior in economic games  as  traditional  partici-  pants do (e.g., Amir, Rand, & Gal, 2012; Goodman et al., 2013; Horton, Rand, & Zeckhauser, 2011; Klein et al., 2014; Paolacci et al., 2010)."
"53","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+62","Classic cognitive tasks that rely on response-time measures have also been replicated,  includ- ing Stroop, switching, flanker, attentional blink, and sub- liminal-priming tasks (Crump et al., 2013)."
"54","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+63","The primary limiting feature in these experiments is the technical qual-  ity of users’ computers (i.e., the refresh rate of computer monitors) rather than noise induced by inattentive or dis- tracted participants (Simcox & Fiez, 2014)."
"55","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+64","Monitoring Web participants is hard, and a natural concern is whether MTurk participants are conscientious and honest."
"56","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+65","In addition to the successful replication of attention-sensitive tasks, direct assessments of attentive- ness revealed few differences between MTurk workers and other participants (e.g., Berinsky, Margolis, & Sances, in press; Paolacci et al., 2010)."
"57","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+66","Workers also appear to be truthful when providing self-report information."
"58","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+67","Respondents’ reported location typically matches their IP address (e.g., Rand, 2012; Shapiro et al., 2013), and there is remarkable consistency over time in workers’ demo- graphic  characteristics  (e.g.,   age   and   gender   after   6 months: Mason & Suri, 2012) and individual-difference measures (after 1 week: Shapiro et al., 2013; and after 3 weeks: Buhrmester et al., 2011; Holden, Dennie, & Hicks, 2013)."
"59","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+68","Indirect comparisons do not support suspi- cions that MTurk workers are more likely to cheat than members of college samples (Suri, Goldstein, & Mason, 2011),  although  the  fact  that  workers  do  respond to incentives to cheat (Goodman et al., 2013) cautions against conducting studies on MTurk that provide partici- pants with opportunities to exploit the uncontrollability of the online environment."
"60","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+69","In sum, researchers can use MTurk for virtually any study that is feasible to conduct online."
"61","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+70","Workers are dili- gent because of their intrinsic motivations and the incen- tive structure of MTurk: Requesters are not forced to approve submissions and can screen workers on the basis of past approval rates."
"62","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+71","Although the desire to provide quality responses is usually beneficial, it may also lead to unintended conse- quences."
"63","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+72","MTurk workers seem to score higher in social desirability (Behrend, Sharek, Meade, & Wiebe, 2011), are unusually likely to report rare symptoms that appear clinically relevant (Shapiro et al., 2013), and may search the Internet for the answers to factually verifiable ques- tions (Goodman et al., 2013)."
"64","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+73","This suggests that workers are motivated to please requesters, and it highlights the importance of taking measures to avoid demand effects by concealing the research question of interest, tempo- rally separating prescreening measures from the depen- dent variables of interest, and using between-subjects experimental manipulations."
"65","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+74","Determinants of Data Quality Data quality on MTurk is good, but it is also variable."
"66","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+76","Indeed, payment improves performance on tasks with factually correct answers that can be determined through additional effort (Aker, El-Haj, Albakour, & Kruschwitz, 2012) and reduces random responses (Kazai, 2010)."
"67","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+77","However, for tasks that rely on subjective responses, as most psychology studies do, there is no relationship between pay rates and quality (Buhrmester et al., 2011; Marge, Banerjee, & Rudnicky, 2010; Mason & Watts, 2009)."
"68","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+78","In these cases, true responses likely require no more effort than false responses, and the limiting factor is more likely to be workers’ understanding of the task (e.g., language comprehension; Goodman et al., 2013), which cannot be reduced by paying more."
"69","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+79","Researchers who use MTurk often “improve” data quality by using screening methods that exclude prob- lematic observations ex post ( J."
"70","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+81","There  are  multiple  reasons  to  avoid using ex post screening methods, particularly  those  that  flag inattentive participants using one or a small number     of questions."
"71","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+82","These  have  high  measurement  error,  rely  on the questionable assumption that measured attentive-  ness is constant throughout the task, and may tap into correlated traits rather than state-level differences in attentiveness (Berinsky et al.,  in  press),  sacrificing  sam- ple diversity."
"72","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+83","There is also no evidence that attention checks improve data quality above and beyond simply recruiting workers with a high approval rate (Peer, Vosgerau, & Acquisti, 2013)."
